"Recorded Crime Offences Under Reservation (Number) by Type of Offence,"
"Garda Station and Year"

" ","Crumlin, D.M.R. Southern Division",88
" ","Sundrive Road, D.M.R. Southern Division",135
" ","Rathfarnham, D.M.R. Southern Division",212
" ","Tallaght, D.M.R. Southern Division",457
" ","Rathmines, D.M.R. Southern Division",77
" ","Terenure, D.M.R. Southern Division",57
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",50
" ","Dundrum, D.M.R. Eastern Division",105
" ","Cabinteely, D.M.R. Eastern Division",43
" ","Dun Laoghaire, D.M.R. Eastern Division",155
" ","Shankill, D.M.R. Eastern Division",79
" ","Blanchardstown, D.M.R. Western Division",204
" ","Cabra, D.M.R. Western Division",33
" ","Finglas, D.M.R. Western Division",295
" ","Ballyfermot, D.M.R. Western Division",231
" ","Clondalkin, D.M.R. Western Division",167
" ","Rathcoole, D.M.R. Western Division",22
" ","Lucan, D.M.R. Western Division",89
" ","Ronanstown, D.M.R. Western Division",352
"11 ,Weapons and Explosives Offences"
" ","Donnybrook, D.M.R. South Central Division",11
" ","Irishtown, D.M.R. South Central Division",15
" ","Pearse Street, D.M.R. South Central Division",130
" ","Kevin Street, D.M.R. South Central Division",43
" ","Kilmainham, D.M.R. South Central Division",40
" ","Bridewell Dublin, D.M.R. North Central Division",28
" ","Fitzgibbon Street, D.M.R. North Central Division",39
" ","Mountjoy, D.M.R. North Central Division",32
" ","Store Street, D.M.R. North Central Division",114
" ","Balbriggan, D.M.R. Northern Division",13
" ","Garristown, D.M.R. Northern Division",1
" ","Lusk, D.M.R. Northern Division",7
" ","Skerries, D.M.R. Northern Division",1
" ","Ballymun, D.M.R. Northern Division",68
" ","Dublin Airport, D.M.R. Northern Division",11
" ","Santry, D.M.R. Northern Division",17
" ","Coolock, D.M.R. Northern Division",26
" ","Malahide, D.M.R. Northern Division",5
" ","Swords, D.M.R. Northern Division",19
" ","Clontarf, D.M.R. Northern Division",14
" ","Howth, D.M.R. Northern Division",2
" ","Raheny, D.M.R. Northern Division",10
" ","Crumlin, D.M.R. Southern Division",14
" ","Sundrive Road, D.M.R. Southern Division",18
" ","Rathfarnham, D.M.R. Southern Division",21
" ","Tallaght, D.M.R. Southern Division",61
" ","Rathmines, D.M.R. Southern Division",8
" ","Terenure, D.M.R. Southern Division",6
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",2
" ","Dundrum, D.M.R. Eastern Division",10
" ","Cabinteely, D.M.R. Eastern Division",7
" ","Dun Laoghaire, D.M.R. Eastern Division",14
" ","Shankill, D.M.R. Eastern Division",14
" ","Blanchardstown, D.M.R. Western Division",69
" ","Cabra, D.M.R. Western Division",5
" ","Finglas, D.M.R. Western Division",49
" ","Ballyfermot, D.M.R. Western Division",31
" ","Clondalkin, D.M.R. Western Division",28
" ","Rathcoole, D.M.R. Western Division",1
" ","Lucan, D.M.R. Western Division",22
" ","Ronanstown, D.M.R. Western Division",33
"12 ,Damage to property and to the environment"
" ","Donnybrook, D.M.R. South Central Division",93
" ","Irishtown, D.M.R. South Central Division",147
" ","Pearse Street, D.M.R. South Central Division",453
" ","Kevin Street, D.M.R. South Central Division",438
" ","Kilmainham, D.M.R. South Central Division",267
" ","Bridewell Dublin, D.M.R. North Central Division",307
" ","Fitzgibbon Street, D.M.R. North Central Division",253
" ","Mountjoy, D.M.R. North Central Division",244
" ","Store Street, D.M.R. North Central Division",448
" ","Balbriggan, D.M.R. Northern Division",242
" ","Garristown, D.M.R. Northern Division",5
" ","Lusk, D.M.R. Northern Division",93
" ","Skerries, D.M.R. Northern Division",34
" ","Ballymun, D.M.R. Northern Division",246
" ","Dublin Airport, D.M.R. Northern Division",11
" ","Santry, D.M.R. Northern Division",219
" ","Coolock, D.M.R. Northern Division",311
" ","Malahide, D.M.R. Northern Division",123
" ","Swords, D.M.R. Northern Division",218
" ","Clontarf, D.M.R. Northern Division",216
" ","Howth, D.M.R. Northern Division",97
" ","Raheny, D.M.R. Northern Division",93
" ","Crumlin, D.M.R. Southern Division",156
" ","Sundrive Road, D.M.R. Southern Division",161
" ","Rathfarnham, D.M.R. Southern Division",190
" ","Tallaght, D.M.R. Southern Division",806
" ","Rathmines, D.M.R. Southern Division",198
" ","Terenure, D.M.R. Southern Division",133
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",94
" ","Dundrum, D.M.R. Eastern Division",289
" ","Cabinteely, D.M.R. Eastern Division",132
" ","Dun Laoghaire, D.M.R. Eastern Division",177
" ","Shankill, D.M.R. Eastern Division",155
" ","Blanchardstown, D.M.R. Western Division",585
" ","Cabra, D.M.R. Western Division",132
" ","Finglas, D.M.R. Western Division",378
" ","Ballyfermot, D.M.R. Western Division",227
" ","Clondalkin, D.M.R. Western Division",282
" ","Rathcoole, D.M.R. Western Division",78
" ","Lucan, D.M.R. Western Division",218
" ","Ronanstown, D.M.R. Western Division",264
"13 ,Public order and other social code offences"
" ","Donnybrook, D.M.R. South Central Division",167
" ","Irishtown, D.M.R. South Central Division",140
" ","Pearse Street, D.M.R. South Central Division",2755
" ","Kevin Street, D.M.R. South Central Division",379
" ","Kilmainham, D.M.R. South Central Division",263
" ","Bridewell Dublin, D.M.R. North Central Division",240
" ","Fitzgibbon Street, D.M.R. North Central Division",196
" ","Mountjoy, D.M.R. North Central Division",242
" ","Store Street, D.M.R. North Central Division",2051
" ","Balbriggan, D.M.R. Northern Division",109
" ","Garristown, D.M.R. Northern Division",1
" ","Lusk, D.M.R. Northern Division",35
" ","Skerries, D.M.R. Northern Division",15
" ","Ballymun, D.M.R. Northern Division",152
" ","Dublin Airport, D.M.R. Northern Division",90
" ","Santry, D.M.R. Northern Division",104
" ","Coolock, D.M.R. Northern Division",126
" ","Malahide, D.M.R. Northern Division",69
" ","Swords, D.M.R. Northern Division",271
" ","Clontarf, D.M.R. Northern Division",110
" ","Howth, D.M.R. Northern Division",45
" ","Raheny, D.M.R. Northern Division",66
" ","Crumlin, D.M.R. Southern Division",67
" ","Sundrive Road, D.M.R. Southern Division",117
" ","Rathfarnham, D.M.R. Southern Division",152
" ","Tallaght, D.M.R. Southern Division",470
" ","Rathmines, D.M.R. Southern Division",174
" ","Terenure, D.M.R. Southern Division",79
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",115
" ","Dundrum, D.M.R. Eastern Division",172
" ","Cabinteely, D.M.R. Eastern Division",81
" ","Dun Laoghaire, D.M.R. Eastern Division",202
" ","Shankill, D.M.R. Eastern Division",95
" ","Blanchardstown, D.M.R. Western Division",293
" ","Cabra, D.M.R. Western Division",61
" ","Finglas, D.M.R. Western Division",195
" ","Ballyfermot, D.M.R. Western Division",165
" ","Clondalkin, D.M.R. Western Division",182
" ","Rathcoole, D.M.R. Western Division",23
" ","Lucan, D.M.R. Western Division",130
" ","Ronanstown, D.M.R. Western Division",157
"15 ,Offences against government, justice procedures and organisation of crime"
" ","Donnybrook, D.M.R. South Central Division",7
" ","Irishtown, D.M.R. South Central Division",8
" ","Pearse Street, D.M.R. South Central Division",118
" ","Kevin Street, D.M.R. South Central Division",19
" ","Kilmainham, D.M.R. South Central Division",35
" ","Bridewell Dublin, D.M.R. North Central Division",4515
" ","Fitzgibbon Street, D.M.R. North Central Division",26
